,Survived,Pclass,Age,SibSp,Parch,Fare,Sex,Cabin,Embarked
572,1,1,56.0,0,0,35.5,1,7,0
573,0,3,28.25,0,0,7.55,1,47,2
574,1,3,23.0,0,0,7.55,0,47,2
575,1,2,18.0,0,1,23.0,0,47,2
576,0,3,21.0,0,0,8.4333,1,47,2
577,1,3,28.25,0,0,7.8292,0,47,1
578,0,3,18.0,0,0,6.75,0,47,1
579,0,2,24.0,2,0,73.5,1,47,2
580,0,3,32.0,1,1,15.5,0,47,1
581,0,2,23.0,0,0,13.0,1,47,2
582,0,1,58.0,0,2,113.275,1,108,0
583,1,1,50.0,2,0,133.65,1,47,2
584,0,3,40.0,0,0,7.225,1,47,0
585,0,1,47.0,0,0,25.5875,1,132,2
586,0,3,36.0,0,0,7.4958,1,47,2
587,1,3,20.0,1,0,7.925,1,47,2
588,0,2,32.0,2,0,73.5,1,47,2
589,0,3,28.25,0,0,7.775,1,47,2
590,0,3,43.0,0,0,8.05,1,47,2
591,1,1,28.25,1,0,52.0,0,58,2
592,1,2,40.0,1,1,39.0,0,47,2
593,0,1,31.0,1,0,52.0,1,38,2
594,0,2,70.0,0,0,10.5,1,47,2
595,1,2,31.0,0,0,13.0,1,47,2
596,0,3,18.0,0,0,7.775,1,47,2
597,0,3,24.5,0,0,8.05,1,47,2
598,1,3,18.0,0,0,9.8417,0,47,2
599,0,3,43.0,1,6,46.9,0,47,2
600,1,1,36.0,0,1,512.3292,1,34,0
601,0,3,28.25,0,0,8.1375,0,47,1
602,1,1,27.0,0,0,76.7292,1,109,0
603,0,3,20.0,0,0,9.225,1,47,2
604,0,3,14.0,5,2,46.9,1,47,2
605,0,2,60.0,1,1,39.0,1,47,2
606,0,2,25.0,1,2,41.5792,1,47,0
607,0,3,14.0,4,1,39.6875,1,47,2
608,0,3,19.0,0,0,10.1708,1,47,2
609,0,3,18.0,0,0,7.7958,1,47,2
610,1,1,15.0,0,1,211.3375,0,32,2
611,1,1,31.0,1,0,57.0,1,19,2
612,1,3,4.0,0,1,13.4167,0,47,0
613,0,3,25.0,0,0,7.225,1,47,0
614,0,1,60.0,0,0,26.55,1,47,2
615,0,2,52.0,0,0,13.5,1,47,2
616,1,3,28.25,0,0,7.7333,0,47,1
617,0,1,49.0,1,1,110.8833,1,75,0
618,0,3,42.0,0,0,7.65,1,139,2
619,1,1,18.0,1,0,227.525,0,73,0
620,1,1,35.0,0,0,26.2875,1,120,2
621,0,3,18.0,0,1,14.4542,0,47,0
622,0,3,25.0,0,0,7.7417,1,47,1
623,0,3,26.0,1,0,7.8542,1,47,2
624,0,2,39.0,0,0,26.0,1,47,2
625,1,2,45.0,0,0,13.5,0,47,2
626,1,1,42.0,0,0,26.2875,1,120,2
627,1,1,22.0,0,0,151.55,0,47,2
628,1,1,24.0,0,0,49.5042,0,84,0
629,0,1,28.25,0,0,26.55,1,56,2
630,1,1,48.0,1,0,52.0,1,58,2
631,0,3,29.0,0,0,9.4833,1,47,2
632,0,2,52.0,0,0,13.0,1,47,2
633,0,3,19.0,0,0,7.65,1,140,2
634,1,1,38.0,0,0,227.525,0,66,0
635,1,2,27.0,0,0,10.5,0,116,2
636,0,3,28.25,0,0,15.5,1,47,1
637,0,3,33.0,0,0,7.775,1,47,2
638,1,2,6.0,0,1,33.0,0,47,2
639,0,3,17.0,1,0,7.0542,1,47,2
640,0,2,34.0,0,0,13.0,1,47,2
641,0,2,50.0,0,0,13.0,1,47,2
642,1,1,27.0,1,0,53.1,1,137,2
643,0,3,20.0,0,0,8.6625,1,47,2
644,1,2,30.0,3,0,21.0,0,47,2
645,1,3,28.25,0,0,7.7375,0,47,1
646,0,2,25.0,1,0,26.0,1,47,2
647,0,3,25.0,1,0,7.925,0,47,2
648,1,1,29.0,0,0,211.3375,0,32,2
649,0,3,11.0,0,0,18.7875,1,47,0
650,0,3,28.5,0,0,16.1,1,47,2
651,0,3,48.0,1,3,34.375,0,47,2
652,1,1,35.0,0,0,512.3292,1,15,0
653,1,1,28.25,0,0,30.0,1,105,2
654,0,1,36.0,1,0,78.85,1,67,2
655,1,1,21.0,2,2,262.375,0,35,0
656,0,3,24.0,1,0,16.1,1,47,2
657,1,3,31.0,0,0,7.925,1,47,2
658,0,1,70.0,1,1,71.0,1,20,2
659,0,3,16.0,1,1,20.25,1,47,2
660,1,2,30.0,0,0,13.0,0,47,2
661,0,1,19.0,1,0,53.1,1,100,2
662,0,3,31.0,0,0,7.75,1,47,1
663,1,2,4.0,1,1,23.0,0,47,2
664,1,3,6.0,0,1,12.475,1,118,2
665,0,3,33.0,0,0,9.5,1,47,2
666,0,3,23.0,0,0,7.8958,1,47,2
667,1,2,48.0,1,2,65.0,0,47,2
668,1,2,0.67,1,1,14.5,1,47,2
669,0,3,28.0,0,0,7.7958,1,47,2
670,1,1,33.0,0,0,86.5,0,40,2
671,0,3,41.0,0,0,7.125,1,47,2
672,1,3,20.0,0,0,7.2292,1,47,0
673,1,1,36.0,1,2,120.0,0,47,2
674,0,3,16.0,0,0,7.775,1,47,2
675,1,1,51.0,1,0,77.9583,0,92,2
676,0,1,28.25,0,0,39.6,1,47,0
677,0,3,30.5,0,0,7.75,0,47,1
678,0,3,28.25,1,0,24.15,1,47,1
679,0,3,32.0,0,0,8.3625,1,47,2
680,0,3,24.0,0,0,9.5,1,47,2
681,0,3,48.0,0,0,7.8542,1,47,2
682,0,2,57.0,0,0,10.5,0,136,2
683,1,2,54.0,1,3,23.0,0,47,2
684,0,3,18.0,0,0,7.75,1,47,2
685,0,3,28.25,0,0,7.75,1,143,1
686,1,3,5.0,0,0,12.475,0,47,2
687,0,3,28.25,0,0,7.7375,1,47,1
688,1,1,43.0,0,1,211.3375,0,22,2
689,1,3,13.0,0,0,7.2292,0,47,0
690,1,1,17.0,1,0,57.0,0,19,2
691,0,1,29.0,0,0,30.0,1,112,2
692,0,3,28.25,1,2,23.45,1,47,2
693,0,3,25.0,0,0,7.05,1,47,2
694,0,3,25.0,0,0,7.25,1,47,2
695,1,3,18.0,0,0,7.4958,0,47,2
696,0,3,8.0,4,1,29.125,1,47,1
697,1,3,1.0,1,2,20.575,1,47,2
698,0,1,46.0,0,0,79.2,1,44,0
699,0,2,16.0,0,0,26.0,1,47,2
700,0,1,28.25,0,0,30.6958,1,47,0
701,0,3,25.0,0,0,7.8958,1,47,2
702,0,2,39.0,0,0,13.0,1,47,2
703,1,1,49.0,0,0,25.9292,0,94,2
704,1,3,31.0,0,0,8.6833,0,47,2
705,0,3,30.0,0,0,7.2292,1,47,0
706,0,3,30.0,1,1,24.15,0,47,2
707,1,2,31.0,1,1,26.25,0,47,2
708,1,1,11.0,1,2,120.0,1,47,2
709,1,3,0.42,0,1,8.5167,1,47,0
710,1,3,27.0,0,0,6.975,1,47,2
711,0,3,31.0,0,0,7.775,1,47,2
712,0,1,39.0,0,0,0.0,1,11,2
713,0,3,18.0,0,0,7.775,0,47,2
714,1,1,33.0,1,0,53.1,0,137,2
715,0,3,26.0,0,0,7.8875,1,47,2
716,0,3,39.0,0,0,24.15,1,47,2
717,0,2,35.0,0,0,10.5,1,47,2
718,0,3,6.0,4,2,31.275,0,47,2
719,0,3,30.5,0,0,8.05,1,47,2
720,0,1,28.25,0,0,0.0,1,16,2
721,0,3,23.0,0,0,7.925,0,47,2
722,0,2,31.0,1,1,37.0042,1,47,0
723,0,3,43.0,0,0,6.45,1,47,2
724,0,3,10.0,3,2,27.9,1,47,2
725,1,1,52.0,1,1,93.5,0,37,2
726,1,3,27.0,0,0,8.6625,1,47,2
727,0,1,38.0,0,0,0.0,1,47,2
728,1,3,27.0,0,1,12.475,0,118,2
729,0,3,2.0,4,1,39.6875,1,47,2
730,0,3,28.25,0,0,6.95,1,47,1
731,0,3,28.25,0,0,56.4958,1,47,2
732,1,2,1.0,0,2,37.0042,1,47,0
733,1,3,28.25,0,0,7.75,1,47,1
734,1,1,62.0,0,0,80.0,0,21,2
735,1,3,15.0,1,0,14.4542,0,47,0
736,1,2,0.83,1,1,18.75,1,47,2
737,0,3,23.0,0,0,7.8542,1,47,2
738,0,3,18.0,0,0,8.3,1,47,2
739,1,1,39.0,1,1,83.1583,0,130,0
740,0,3,21.0,0,0,8.6625,1,47,2
741,1,1,28.25,0,0,29.7,1,68,0
742,0,3,20.0,0,0,7.925,1,47,2
743,0,2,16.0,0,0,10.5,1,47,2
744,1,1,30.0,0,0,31.0,0,47,0
745,0,3,34.5,0,0,6.4375,1,47,0
746,0,3,42.0,0,0,7.55,1,47,2
747,0,3,35.0,0,0,7.8958,1,47,0
748,0,2,28.0,0,1,33.0,1,47,2
749,1,1,28.25,1,0,89.1042,0,86,0
750,0,3,4.0,4,2,31.275,1,47,2
751,0,3,74.0,0,0,7.775,1,47,2
752,0,3,9.0,1,1,15.2458,0,47,0
753,1,1,16.0,0,1,39.4,0,99,2
754,0,2,44.0,1,0,26.0,0,47,2
755,1,3,18.0,0,1,9.35,0,47,2
756,1,1,45.0,1,1,164.8667,0,47,2
757,1,1,51.0,0,0,26.55,1,119,2
758,1,3,24.0,0,3,19.2583,0,47,0
759,0,3,41.0,2,0,14.1083,1,47,2
760,0,2,21.0,1,0,11.5,1,47,2
761,1,1,48.0,0,0,25.9292,0,94,2
762,0,2,24.0,0,0,13.0,1,47,2
763,1,2,42.0,0,0,13.0,0,47,2
764,1,2,27.0,1,0,13.8583,0,47,0
765,0,1,31.0,0,0,50.4958,1,6,2
766,0,3,28.25,0,0,9.5,1,47,2
767,1,3,4.0,1,1,11.1333,1,47,2
768,1,1,47.0,1,1,52.5542,0,102,2
769,0,1,33.0,0,0,5.0,1,34,2
770,0,3,47.0,0,0,9.0,1,47,2
771,1,2,28.0,1,0,24.0,0,47,0
772,1,3,15.0,0,0,7.225,0,47,0
773,0,3,20.0,0,0,9.8458,1,47,2
774,1,1,56.0,0,1,83.1583,0,70,0
775,1,2,25.0,0,1,26.0,0,47,2
776,0,3,33.0,0,0,7.8958,1,47,2
777,0,3,22.0,0,0,10.5167,0,47,2
778,0,2,28.0,0,0,10.5,1,47,2
779,0,3,39.0,0,5,29.125,0,47,1
780,1,1,19.0,0,0,30.0,0,30,2
781,0,3,28.25,1,2,23.45,0,47,2
782,1,1,26.0,0,0,30.0,1,60,0
783,0,3,32.0,0,0,7.75,1,47,1
